provider_id,provider_name,system_family,indicator_id,indicator_name,pillar,subpillar,indicator_value,norm_known,norm_evidence,evidence_url,evidence_excerpt
bigscience,BigScience,BLOOM,INC5,Dataset demographic documentation,Inclusivity & diversity,Dataset demographic documentation,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC6,On-device / low-resource deployment,Inclusivity & diversity,On-device / low-resource deployment,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC7,Community co-authorship,Inclusivity & diversity,Community co-authorship,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC8,Equitable pricing/access,Inclusivity & diversity,Equitable pricing/access,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC9,Geo availability breadth,Inclusivity & diversity,Geo availability breadth,Unknown,,0.0,,
bigscience,BigScience,BLOOM,INC10,Safety for marginalized identities,Inclusivity & diversity,Safety for marginalized identities,Unknown,,0.0,,
bigscience,BigScience,BLOOM,TRA1,System/model card published,Transparency,System/model card published,Yes,1.0,1.0,https://huggingface.co/bigscience/bloom,Model card available on model hub/repo.
bigscience,BigScience,BLOOM,TRA2,Training data sources disclosed,Transparency,Training data sources disclosed,2,1.0,1.0,https://huggingface.co/bigscience/bloom,Training data sources described at high-level/dataset list depending on family.
bigscience,BigScience,BLOOM,TRA3,License is explicit & reproducible,Transparency,License is explicit & reproducible,Yes,1.0,1.0,https://huggingface.co/bigscience/bloom,License/terms listed: RII License (RAIL variant)/BigScience OpenRAIL-M
bigscience,BigScience,BLOOM,TRA4,Evaluation suite & methodology,Transparency,Evaluation suite & methodology,Unknown,,0.0,,
bigscience,BigScience,BLOOM,TRA5,Versioned release notes/changelog,Transparency,Versioned release notes/changelog,Yes,1.0,1.0,https://huggingface.co/bigscience/bloom#files,Versioned releases available (GitHub/HF tags).
bigscience,BigScience,BLOOM,TRA6,Data retention & privacy,Transparency,Data retention & privacy,Unknown,,0.0,,
bigscience,BigScience,BLOOM,TRA7,Safety & use policy clarity,Transparency,Safety & use policy clarity,Unknown,,0.0,,
bigscience,BigScience,BLOOM,TRA8,Incident/abuse transparency report,Transparency,Incident/abuse transparency report,Unknown,,0.0,,
bigscience,BigScience,BLOOM,TRA9,Reproducible training recipe,Transparency,Reproducible training recipe,Unknown,,0.0,,
bigscience,BigScience,BLOOM,TRA10,Open weights availability,Transparency,Open weights availability,Yes,1.0,1.0,https://huggingface.co/bigscience/bloom,Weights available for download (model hub/repo).
bigscience,BigScience,BLOOM,ACC1,Bug bounty / VDP,Accountability,Bug bounty / VDP,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC2,User appeals/redress,Accountability,User appeals/redress,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC3,Third-party audit/assurance,Accountability,Third-party audit/assurance,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC4,Independent red team evaluation,Accountability,Independent red team evaluation,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC5,Regulatory compliance disclosures,Accountability,Regulatory compliance disclosures,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC6,Policy enforcement evidence,Accountability,Policy enforcement evidence,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC7,Data processing addendum (DPA),Accountability,Data processing addendum (DPA),Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC8,Input/output logging controls,Accountability,Input/output logging controls,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC9,Content provenance / watermarking,Accountability,Content provenance / watermarking,Unknown,,0.0,,
bigscience,BigScience,BLOOM,ACC10,Responsible release process,Accountability,Responsible release process,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV1,Stakeholder advisory mechanism,Participatory governance,Stakeholder advisory mechanism,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV2,Public consultation on model/policy,Participatory governance,Public consultation on model/policy,Yes,1.0,1.0,https://openai.com/index/introducing-the-model-spec/,OpenAI invited public input on its Model Spec to guide policy and product behavior.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV3,Issue tracker for user feedback,Participatory governance,Issue tracker for user feedback,1,0.5,0.5,https://help.openai.com/en/articles/6627109-how-can-i-contact-openai-for-support,"OpenAI provides user support and feedback channels,but issues are not tracked in a public bug/issue tracker."
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV4,Participatory red teaming,Participatory governance,Participatory red teaming,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV5,Data rights & consent deals,Participatory governance,Data rights & consent deals,2,1.0,1.0,https://www.ap.org/press-releases/2023/ap-and-openai-announce-strategic-partnership/,"OpenAI has multiple licensing deals (e.g.,AP,Axel Springer,FT, News Corp) for data rights."
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV6,Civil society partnerships,Participatory governance,Civil society partnerships,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV7,Training data opt-out,Participatory governance,Training data opt-out,Yes,1.0,1.0,https://openai.com/gptbot,Site owners can disallow GPTBot in robots.txt to opt-out of use for training.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV8,Participatory evaluation,Participatory governance,Participatory evaluation,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV9,Model policy protects vulnerable groups,Participatory governance,Model policy protects vulnerable groups,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,GOV10,Independent oversight,Participatory governance,Independent oversight,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC1,Supported UI languages (count),Inclusivity & diversity,Supported UI languages (count),Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC2,Low-resource language coverage,Inclusivity & diversity,Low-resource language coverage,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC3,Accessibility features,Inclusivity & diversity,Accessibility features,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC4,Disaggregated safety metrics,Inclusivity & diversity,Disaggregated safety metrics,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC5,Dataset demographic documentation,Inclusivity & diversity,Dataset demographic documentation,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC6,On-device / low-resource deployment,Inclusivity & diversity,On-device / low-resource deployment,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC7,Community co-authorship,Inclusivity & diversity,Community co-authorship,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC8,Equitable pricing/access,Inclusivity & diversity,Equitable pricing/access,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC9,Geo availability breadth,Inclusivity & diversity,Geo availability breadth,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,INC10,Safety for marginalized identities,Inclusivity & diversity,Safety for marginalized identities,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA1,System/model card published,Transparency,System/model card published,Yes,1.0,1.0,https://openai.com/index/gpt-4o-system-card/,"OpenAI publishes system cards/model reports for major model families (e.g.,GPT‑4o)."
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA2,Training data sources disclosed,Transparency,Training data sources disclosed,1,0.5,0.5,https://openai.com/index/gpt-4o-system-card/,Training data sources described at high-level/dataset list depending on family.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA3,License is explicit & reproducible,Transparency,License is explicit & reproducible,No,0.0,0.0,https://openai.com/index/gpt-4o-system-card/,License/terms listed: OpenAI Terms of Use
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA4,Evaluation suite & methodology,Transparency,Evaluation suite & methodology,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA5,Versioned release notes/changelog,Transparency,Versioned release notes/changelog,Yes,1.0,1.0,https://platform.openai.com/docs/changelog,OpenAI maintains public release notes / changelog for API and models.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA6,Data retention & privacy,Transparency,Data retention & privacy,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA7,Safety & use policy clarity,Transparency,Safety & use policy clarity,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA8,Incident/abuse transparency report,Transparency,Incident/abuse transparency report,Yes,1.0,1.0,https://openai.com/index/safety-update-disrupting-deceptive-activity/,"OpenAI reports on incidents and mitigations (e.g.,takedowns of deceptive influence operations)."
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA9,Reproducible training recipe,Transparency,Reproducible training recipe,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,TRA10,Open weights availability,Transparency,Open weights availability,No,0.0,0.0,https://openai.com/open-models/,"OpenAI offers some open‑weight models,but GPT‑4/4o/o1 family weights are not open."
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC1,Bug bounty / VDP,Accountability,Bug bounty / VDP,Yes,1.0,1.0,https://bugcrowd.com/openai,OpenAI runs a vulnerability disclosure / bug bounty program via Bugcrowd.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC2,User appeals/redress,Accountability,User appeals/redress,Yes,1.0,1.0,https://openai.com/transparency-and-content-moderation/,OpenAI describes an appeals process for enforcement actions and content moderation decisions.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC3,Third-party audit/assurance,Accountability,Third-party audit/assurance,Yes,1.0,1.0,https://openai.com/security-and-privacy/,OpenAI states SOC 2 Type 2 and other certifications for business products and API.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC4,Independent red team evaluation,Accountability,Independent red team evaluation,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC5,Regulatory compliance disclosures,Accountability,Regulatory compliance disclosures,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC6,Policy enforcement evidence,Accountability,Policy enforcement evidence,Unknown,,0.0,,
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC7,Data processing addendum (DPA),Accountability,Data processing addendum (DPA),Yes,1.0,1.0,https://openai.com/policies/data-processing-addendum,OpenAI offers a Data Processing Addendum for customers.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC8,Input/output logging controls,Accountability,Input/output logging controls,Yes,1.0,1.0,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,Users can disable chat history & training; business/API offer zero-data-retention and audit logging controls.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC9,Content provenance / watermarking,Accountability,Content provenance / watermarking,Yes,1.0,1.0,https://openai.com/index/using-c2pa-content-credentials-for-our-photos/,OpenAI supports C2PA Content Credentials to indicate AI‑generated or edited media.
openai,OpenAI,GPT-4o / o1 / o3 / GPT-4 family,ACC10,Responsible release process,Accountability,Responsible release process,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV1,Stakeholder advisory mechanism,Participatory governance,Stakeholder advisory mechanism,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV2,Public consultation on model/policy,Participatory governance,Public consultation on model/policy,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV3,Issue tracker for user feedback,Participatory governance,Issue tracker for user feedback,1,0.5,0.5,https://support.google.com/gemini/answer/13575153,Gemini has in‑product feedback but lacks a public model issue tracker.
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV4,Participatory red teaming,Participatory governance,Participatory red teaming,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV5,Data rights & consent deals,Participatory governance,Data rights & consent deals,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV6,Civil society partnerships,Participatory governance,Civil society partnerships,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV7,Training data opt-out,Participatory governance,Training data opt-out,Yes,1.0,1.0,https://developers.google.com/search/help/google-extended,Site owners can block Google‑Extended user agent to opt out of content being used for AI training.
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV8,Participatory evaluation,Participatory governance,Participatory evaluation,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV9,Model policy protects vulnerable groups,Participatory governance,Model policy protects vulnerable groups,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),GOV10,Independent oversight,Participatory governance,Independent oversight,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC1,Supported UI languages (count),Inclusivity & diversity,Supported UI languages (count),Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC2,Low-resource language coverage,Inclusivity & diversity,Low-resource language coverage,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC3,Accessibility features,Inclusivity & diversity,Accessibility features,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC4,Disaggregated safety metrics,Inclusivity & diversity,Disaggregated safety metrics,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC5,Dataset demographic documentation,Inclusivity & diversity,Dataset demographic documentation,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC6,On-device / low-resource deployment,Inclusivity & diversity,On-device / low-resource deployment,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC7,Community co-authorship,Inclusivity & diversity,Community co-authorship,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC8,Equitable pricing/access,Inclusivity & diversity,Equitable pricing/access,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC9,Geo availability breadth,Inclusivity & diversity,Geo availability breadth,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),INC10,Safety for marginalized identities,Inclusivity & diversity,Safety for marginalized identities,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA1,System/model card published,Transparency,System/model card published,Yes,1.0,1.0,https://modelcards.withgoogle.com/assets/documents/gemini-2.5-pro.pdf,Google publishes model/system cards for Gemini models.
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA2,Training data sources disclosed,Transparency,Training data sources disclosed,1,0.5,0.5,https://ai.google.dev/gemini-api/docs/models/gemini,Training data sources described at high-level/dataset list depending on family.
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA3,License is explicit & reproducible,Transparency,License is explicit & reproducible,No,0.0,0.0,https://ai.google.dev/gemini-api/docs/models/gemini,License/terms listed: Google Terms; Gemma license
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA4,Evaluation suite & methodology,Transparency,Evaluation suite & methodology,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA5,Versioned release notes/changelog,Transparency,Versioned release notes/changelog,Yes,1.0,1.0,https://ai.google.dev/gemini-api/docs/models/gemini,Versioned releases available (GitHub/HF tags).
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA6,Data retention & privacy,Transparency,Data retention & privacy,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA7,Safety & use policy clarity,Transparency,Safety & use policy clarity,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA8,Incident/abuse transparency report,Transparency,Incident/abuse transparency report,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA9,Reproducible training recipe,Transparency,Reproducible training recipe,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),TRA10,Open weights availability,Transparency,Open weights availability,No,0.0,0.0,https://ai.google.dev/gemma,Gemini weights are closed; open weights are provided separately under the Gemma family.
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC1,Bug bounty / VDP,Accountability,Bug bounty / VDP,Yes,1.0,1.0,https://bughunters.google.com/,Google operates long‑running VRP/bug bounty programs including AI targets.
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC2,User appeals/redress,Accountability,User appeals/redress,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC3,Third-party audit/assurance,Accountability,Third-party audit/assurance,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC4,Independent red team evaluation,Accountability,Independent red team evaluation,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC5,Regulatory compliance disclosures,Accountability,Regulatory compliance disclosures,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC6,Policy enforcement evidence,Accountability,Policy enforcement evidence,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC7,Data processing addendum (DPA),Accountability,Data processing addendum (DPA),Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC8,Input/output logging controls,Accountability,Input/output logging controls,Unknown,,0.0,,
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC9,Content provenance / watermarking,Accountability,Content provenance / watermarking,Yes,1.0,1.0,https://deepmind.google/science/synthid/,Google DeepMind’s SynthID provides watermarking/provenance for AI‑generated media.
google,Google (DeepMind),Gemini (Ultra/Pro/Nano/Flash),ACC10,Responsible release process,Accountability,Responsible release process,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV1,Stakeholder advisory mechanism,Participatory governance,Stakeholder advisory mechanism,Yes,1.0,1.0,https://www.anthropic.com/news/the-long-term-benefit-trust,Anthropic’s Long‑Term Benefit Trust is an independent body with authority over board selection.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV2,Public consultation on model/policy,Participatory governance,Public consultation on model/policy,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV3,Issue tracker for user feedback,Participatory governance,Issue tracker for user feedback,1,0.5,0.5,https://support.claude.com,User support & feedback channels exist but there is no public issue tracker for Claude models.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV4,Participatory red teaming,Participatory governance,Participatory red teaming,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV5,Data rights & consent deals,Participatory governance,Data rights & consent deals,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV6,Civil society partnerships,Participatory governance,Civil society partnerships,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV7,Training data opt-out,Participatory governance,Training data opt-out,Yes,1.0,1.0,https://www.anthropic.com/news/updates-to-our-consumer-terms,"Users can opt out of using chats for training via privacy settings; consumer default is opt-in as of Oct 8,2025."
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV8,Participatory evaluation,Participatory governance,Participatory evaluation,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV9,Model policy protects vulnerable groups,Participatory governance,Model policy protects vulnerable groups,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,GOV10,Independent oversight,Participatory governance,Independent oversight,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC1,Supported UI languages (count),Inclusivity & diversity,Supported UI languages (count),Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC2,Low-resource language coverage,Inclusivity & diversity,Low-resource language coverage,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC3,Accessibility features,Inclusivity & diversity,Accessibility features,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC4,Disaggregated safety metrics,Inclusivity & diversity,Disaggregated safety metrics,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC5,Dataset demographic documentation,Inclusivity & diversity,Dataset demographic documentation,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC6,On-device / low-resource deployment,Inclusivity & diversity,On-device / low-resource deployment,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC7,Community co-authorship,Inclusivity & diversity,Community co-authorship,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC8,Equitable pricing/access,Inclusivity & diversity,Equitable pricing/access,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC9,Geo availability breadth,Inclusivity & diversity,Geo availability breadth,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,INC10,Safety for marginalized identities,Inclusivity & diversity,Safety for marginalized identities,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA1,System/model card published,Transparency,System/model card published,Yes,1.0,1.0,https://www.anthropic.com/claude-3-model-card,Anthropic publishes model cards/reports for Claude 3.x/4.x models.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA2,Training data sources disclosed,Transparency,Training data sources disclosed,1,0.5,0.5,https://www.anthropic.com/claude,Training data sources described at high-level/dataset list depending on family.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA3,License is explicit & reproducible,Transparency,License is explicit & reproducible,No,0.0,0.0,https://www.anthropic.com/claude,License/terms listed: Anthropic Terms of Service
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA4,Evaluation suite & methodology,Transparency,Evaluation suite & methodology,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA5,Versioned release notes/changelog,Transparency,Versioned release notes/changelog,Unknown,,0.0,https://www.anthropic.com/claude,No clear release/changelog page identified.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA6,Data retention & privacy,Transparency,Data retention & privacy,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA7,Safety & use policy clarity,Transparency,Safety & use policy clarity,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA8,Incident/abuse transparency report,Transparency,Incident/abuse transparency report,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA9,Reproducible training recipe,Transparency,Reproducible training recipe,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,TRA10,Open weights availability,Transparency,Open weights availability,No,0.0,0.0,https://www.anthropic.com/claude-3-model-card,Claude family weights are not open.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC1,Bug bounty / VDP,Accountability,Bug bounty / VDP,Yes,1.0,1.0,https://hackerone.com/anthropic-vdp,Anthropic operates a vulnerability disclosure / bug bounty program on HackerOne.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC2,User appeals/redress,Accountability,User appeals/redress,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC3,Third-party audit/assurance,Accountability,Third-party audit/assurance,Yes,1.0,1.0,https://privacy.claude.com/en/articles/10015870-what-certifications-has-anthropic-obtained,"Anthropic lists SOC 2 Type II,ISO 27001,and ISO/IEC 42001 certifications."
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC4,Independent red team evaluation,Accountability,Independent red team evaluation,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC5,Regulatory compliance disclosures,Accountability,Regulatory compliance disclosures,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC6,Policy enforcement evidence,Accountability,Policy enforcement evidence,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC7,Data processing addendum (DPA),Accountability,Data processing addendum (DPA),Yes,1.0,1.0,https://privacy.claude.com,Anthropic’s Privacy/Trust resources include DPAs for enterprise customers via Trust Center.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC8,Input/output logging controls,Accountability,Input/output logging controls,Yes,1.0,1.0,https://www.anthropic.com/news/updates-to-our-consumer-terms,Privacy settings allow opting out of training; retention defaults updated with control for consumers vs enterprise.
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC9,Content provenance / watermarking,Accountability,Content provenance / watermarking,Unknown,,0.0,,
anthropic,Anthropic,Claude 3.x / 4.x Sonnet/Opus/Haiku,ACC10,Responsible release process,Accountability,Responsible release process,Unknown,,0.0,,
